"sim1_repl1_input","sim1_repl1_high","sim1_repl1_low","sim1_repl2_input","sim1_repl2_high","sim1_repl2_low"
130,45,347,23,23,23
0,0,0,58,40,14
226,102,54,0,0,0
45,11,7,29,24,2
26,17,6,463,382,121
243,105,102,80,50,150
198,75,352,99,92,50
207,89,39,1017,807,472
1067,438,1674,87,85,12
1,1,5,180,166,79
209,99,219,108,110,40
395,179,574,0,0,0
103,33,181,140,103,203
124,69,42,111,95,48
0,0,0,68,54,54
44,15,42,49,43,86
98,55,5,381,355,25
743,303,796,34,26,10
0,0,0,3,5,5
0,0,0,205,171,189
51,18,120,297,196,368
820,318,728,0,1,2
26,5,58,261,216,112
0,0,0,344,248,205
299,122,126,31,31,46
0,0,0,77,55,23
162,69,527,404,335,89
45,16,34,23,18,0
468,192,67,28,24,7
111,51,37,108,87,42
476,210,196,0,0,0
0,0,0,115,91,23
615,278,492,50,47,7
120,48,211,889,631,236
63,31,16,0,0,0
381,183,425,2390,1705,1663
1127,475,1008,143,123,25
549,215,730,285,218,34
77,35,35,1237,933,819
16,5,0,300,236,325
106,46,129,187,158,48
156,57,39,100,69,109
290,137,403,275,223,108
0,0,0,157,99,123
126,53,317,480,365,364
13,7,0,94,50,79
1197,503,943,139,113,21
175,97,22,278,226,21
0,0,0,108,93,76
0,0,0,87,81,36
137,49,138,24,10,12
309,137,209,433,371,129
417,189,546,378,280,254
0,0,0,15,10,2
23,6,22,57,37,40
94,29,5,218,185,188
1397,573,1212,506,382,312
299,112,403,300,233,165
0,0,0,105,88,43
335,135,608,111,60,19
0,0,0,317,266,27
21,5,19,4,13,3
62,29,78,221,186,199
78,45,22,107,93,8
62,25,126,14,13,4
170,73,17,32,27,4
1000,438,149,192,139,120
374,151,474,369,265,316
111,57,7,21,8,11
238,92,393,191,126,206
13,7,8,32,32,12
209,83,910,33,30,14
987,419,158,231,171,240
1074,438,1066,10,13,3
819,361,1875,192,123,138
95,26,380,828,630,223
72,26,76,26,18,26
132,53,56,287,238,75
377,164,60,150,142,85
430,170,270,409,301,44
479,217,388,13,7,0
172,52,126,170,133,163
116,37,130,23,44,1
0,0,0,0,0,0
1874,724,6553,0,0,0
589,219,403,306,218,5
67,39,36,714,524,1219
0,0,0,21,22,34
247,108,178,41,23,42
54,25,18,590,509,59
13,6,13,560,388,523
13,5,19,212,168,11
61,27,71,0,0,0
168,68,610,0,0,0
4,2,0,382,296,88
76,36,103,36,28,42
379,133,531,0,0,0
12,3,8,270,212,40
628,285,528,651,534,146
380,135,547,481,369,133
480,193,594,364,280,560
4,2,8,582,400,317
0,0,0,517,374,221
101,40,2,517,415,35
406,193,54,0,0,0
120,57,180,11,13,7
161,69,132,971,800,222
91,36,163,240,207,78
26,10,6,238,182,69
364,157,162,448,334,218
78,32,90,281,230,354
331,146,234,488,409,210
156,67,48,32,22,10
7,2,22,664,532,86
168,72,25,72,57,3
66,28,28,0,0,0
97,42,43,24,19,7
96,35,286,15,17,3
67,24,158,457,366,96
180,83,232,731,639,149
0,0,0,439,367,62
52,29,22,0,0,0
13,9,26,106,76,59
85,40,20,449,360,188
0,0,0,487,323,243
2,0,4,20,8,18
23,10,5,954,767,374
96,43,170,327,258,22
211,74,346,87,59,94
1340,560,2290,8,4,5
216,94,525,47,36,11
475,199,426,154,125,62
352,149,469,542,430,291
0,0,0,186,138,147
0,0,0,522,384,258
35,10,56,218,166,58
46,9,34,547,375,132
406,146,760,405,322,73
166,58,111,193,158,188
131,55,47,743,565,484
549,224,217,76,77,85
41,14,2,0,0,0
316,143,122,56,46,14
16,8,29,6,4,1
100,43,15,87,63,84
58,31,4,207,149,3
161,79,5,196,151,68
164,56,119,0,0,0
69,29,49,288,206,109
138,47,126,1,3,0
148,73,141,114,75,89
4,2,12,156,137,42
60,35,40,0,0,0
24,11,21,0,0,0
0,0,0,344,288,20
187,64,283,125,92,106
17,6,0,299,256,116
22,15,17,256,223,157
0,0,0,189,150,32
78,31,65,168,147,13
0,0,0,37,34,6
112,48,35,4,3,3
232,95,96,4,1,0
195,83,455,37,18,5
492,189,420,0,0,0
432,168,465,145,110,38
61,32,70,267,217,59
1,0,3,132,126,38
1145,481,116,73,54,22
140,55,11,280,198,147
0,0,0,71,52,60
176,85,541,204,150,300
111,49,156,215,151,55
1,0,6,509,391,148
163,69,299,64,43,45
0,0,0,149,139,135
49,8,19,448,321,58
305,120,259,74,57,74
1,0,0,48,36,39
132,66,41,207,176,258
462,183,272,235,215,135
85,27,60,88,63,46
876,339,479,37,40,47
123,54,97,0,0,0
299,115,753,357,266,271
739,298,1430,10,9,11
62,19,84,152,140,104
2,1,6,209,181,30
716,290,8,5,5,5
361,130,261,28,19,1
63,25,10,8,13,0
0,0,0,58,38,26
44,14,26,0,0,0
54,13,15,35,27,3
426,175,419,6,1,0
105,39,89,70,51,32
212,66,627,214,193,122
1356,576,1914,9,6,3
0,0,0,0,0,0
174,41,209,137,91,118
127,65,126,86,62,62
292,133,77,33,23,4
8,4,5,0,0,0
567,236,1538,69,51,62
10,4,17,1314,1044,935
203,109,202,0,0,0
72,35,33,157,110,176
57,24,31,0,0,0
897,375,775,1,0,0
833,361,339,5,11,10
206,97,201,238,156,201
585,251,658,0,0,0
25,6,40,126,88,22
179,67,181,84,85,32
1554,634,995,26,34,0
78,39,144,153,113,16
232,101,247,316,257,113
368,172,593,8,2,11
298,110,1112,263,206,101
191,75,187,9,9,4
0,0,0,222,202,23
29,17,28,125,138,31
1743,729,433,431,339,179
0,0,0,685,518,72
879,363,582,88,70,14
57,19,22,523,438,188
0,0,0,613,474,266
7,4,0,112,73,49
115,50,256,0,0,0
465,211,203,217,147,92
43,16,75,9,13,1
171,67,43,395,271,298
384,159,315,122,89,53
85,39,231,294,225,57
3,1,0,4,3,2
69,20,65,0,0,0
153,41,410,176,160,13
225,100,413,36,38,40
96,38,32,25,26,11
24,26,20,581,459,172
3,1,0,863,660,224
0,0,0,161,110,69
26,13,34,0,1,0
136,67,222,23,15,4
0,0,0,56,37,31
0,0,0,423,348,185
188,84,224,209,169,112
0,0,0,305,216,247
0,0,0,582,496,105
386,203,280,31,18,17
834,309,847,64,55,72
0,0,0,2,0,0
435,192,350,161,136,90
4,1,5,525,456,21
140,62,128,255,223,223
36,16,50,349,301,185
560,215,143,77,72,26
447,232,138,1089,881,169
225,112,173,131,117,18
291,126,637,24,15,20
13,7,40,570,402,415
267,106,229,227,168,165
29,20,16,292,226,46
377,160,315,0,0,0
99,44,138,127,105,138
454,184,241,0,0,0
285,118,84,87,57,283
1,3,0,392,310,63
369,183,605,971,740,1034
54,17,16,1275,1010,504
159,60,519,447,351,157
6,3,27,70,54,24
222,104,28,245,219,15
362,162,252,55,38,36
88,33,31,0,0,0
152,67,26,67,55,18
463,193,464,143,112,49
277,107,69,334,261,3
31,7,25,5,8,4
105,38,85,48,34,6
2044,877,617,1056,788,1132
337,135,377,150,115,26
200,93,142,63,58,12
18,7,6,499,343,380
25,13,7,678,543,129
156,68,145,346,282,76
