"sim1_repl1_input","sim1_repl1_high","sim1_repl1_low","sim1_repl2_input","sim1_repl2_high","sim1_repl2_low"
10,1,12,432,355,142
235,87,338,0,0,0
86,31,27,92,73,24
7,1,10,1,1,1
190,66,422,337,272,146
127,54,174,73,58,16
0,0,0,46,48,36
0,0,0,381,340,51
735,288,1465,66,51,18
204,104,205,18,15,6
42,10,37,246,203,60
32,16,26,76,53,22
336,171,236,317,242,91
61,19,31,484,322,221
23,6,103,344,263,264
0,0,0,18,19,10
0,0,0,7,5,0
101,41,158,0,0,0
137,62,141,858,680,373
524,243,145,317,242,8
31,10,62,265,216,86
213,104,142,96,75,74
25,8,33,0,0,0
42,9,87,103,83,12
209,70,377,0,0,0
53,21,36,580,477,191
5,3,8,150,106,91
1247,493,3994,196,166,75
124,60,427,300,228,125
205,94,181,258,209,107
103,35,40,0,0,0
28,10,41,94,72,33
218,84,20,166,133,92
455,198,227,182,118,50
0,0,0,34,24,70
0,0,0,8,6,4
86,33,120,1125,902,219
3,0,4,477,361,312
10,7,4,107,93,31
425,173,764,233,139,116
658,256,231,95,66,89
59,23,0,219,158,146
4,2,5,72,49,35
27,15,39,864,654,262
33,10,33,115,58,2
340,128,823,624,545,152
28,21,9,311,238,282
178,70,52,22,11,16
114,55,251,3,4,4
758,324,641,164,138,8
573,278,340,4,9,1
135,61,163,184,109,60
40,18,39,0,0,0
131,48,214,28,25,1
106,39,207,2,1,1
488,193,2414,836,618,815
700,314,566,179,138,144
74,33,230,398,319,123
55,17,278,439,327,83
295,143,26,70,54,34
557,232,250,2,4,0
168,74,272,144,117,133
153,56,104,3,3,1
880,403,162,124,84,55
0,0,0,0,0,0
0,0,0,194,135,127
146,55,43,66,59,12
254,100,72,803,623,79
149,54,221,5,4,5
0,0,0,472,360,24
404,165,224,44,30,30
7,2,0,1116,912,265
0,0,0,1024,781,246
325,141,192,10,7,4
69,21,36,151,126,74
3,2,0,121,96,137
373,163,49,448,335,135
182,94,472,0,0,0
0,0,0,211,169,15
80,36,93,16,12,1
1,3,0,715,579,76
317,110,1486,443,363,289
71,32,42,752,571,152
88,44,75,122,74,96
2,1,2,117,107,35
542,226,133,202,156,99
288,125,166,252,231,144
41,25,45,589,463,319
394,203,244,93,49,220
277,119,725,81,80,10
200,112,220,229,167,130
90,48,77,77,55,17
90,40,58,0,0,0
469,218,260,0,2,5
516,232,239,88,85,14
0,0,0,0,0,0
288,118,187,625,474,288
0,0,0,803,630,723
279,82,1214,197,138,10
159,61,332,131,85,92
90,37,165,315,214,22
238,83,38,112,77,84
13,5,11,314,236,131
0,0,0,4,3,3
87,26,415,1766,1394,790
111,65,66,245,188,98
62,30,93,0,0,0
31,12,38,286,224,236
1389,561,1064,18,11,22
69,27,40,8,8,16
112,52,215,295,239,59
331,121,513,0,2,0
586,246,338,427,359,110
202,79,303,393,328,144
0,0,0,0,2,0
0,0,0,305,238,18
31,19,80,237,217,146
63,24,79,81,83,0
274,108,177,415,342,60
254,94,606,417,329,24
94,40,123,226,181,26
32,16,73,322,260,125
258,118,405,0,0,0
163,72,22,147,107,41
1108,513,1749,4,3,0
4,4,3,127,109,129
421,186,995,17,13,6
0,0,0,44,38,8
344,129,464,14,9,7
14,11,8,14,13,0
425,172,472,7,2,5
505,214,368,89,73,45
368,148,658,213,133,243
0,0,0,876,673,129
35,12,28,130,97,102
